"pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","dropoff_datetime","pickup_datetime","passenger_count","trip_distance"
"-73.969611999999998","40.797350000000002","-73.958079999999995","40.811411999999997","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","1.3400000000000001"
"-73.988275000000002","40.718494999999997","-73.937517999999997","40.701766999999997","2014-01-06T00:04:00.000","2014-01-05T23:54:00.000","5","2.9900000000000002"
"-73.989057000000003","40.745482000000003","-73.951385000000002","40.826819999999998","2014-01-06T00:04:00.000","2014-01-05T23:43:00.000","1","7.2999999999999998"
"-73.977568000000005","40.77908","-74.003020000000006","40.741692","2014-01-06T00:04:00.000","2014-01-05T23:54:00.000","3","3.2200000000000002"
"-73.971062000000003","40.794355000000003","-73.932742000000005","40.799774999999997","2014-01-06T00:04:00.000","2014-01-05T23:52:00.000","1","2.9500000000000002"
"-73.984459999999999","40.755070000000003","-73.991242","40.691811999999999","2014-01-06T00:04:00.000","2014-01-05T23:44:00.000","2","5.6699999999999999"
"-73.989041999999998","40.748216999999997","-73.984802000000002","40.769266999999999","2014-01-06T00:04:00.000","2014-01-05T23:58:00.000","1","1.99"
"-74.009872999999999","40.705517","-74.004165","40.724981999999997","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","1","1.5900000000000001"
"-73.863027000000002","40.769112","-73.942355000000006","40.845317000000001","2014-01-06T00:04:00.000","2014-01-05T23:40:00.000","1","10.529999999999999"
"-73.950896999999998","40.711011999999997","-73.941668000000007","40.707487","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","0.77000000000000002"
"-73.964927000000003","40.791747000000001","-73.940955000000002","40.806792000000002","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","1","2.2400000000000002"
"-73.971846999999997","40.763202","-73.992272","40.767375000000001","2014-01-06T00:04:00.000","2014-01-05T23:56:00.000","3","1.51"
"-73.984302999999997","40.764921999999999","-73.993249000000006","40.752363000000003","2014-01-06T00:04:00.000","2014-01-05T23:57:36.000","1","1.5"
"-73.988332","40.737636999999999","-74.004041999999998","40.716771999999999","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","1.75"
"-74.005065000000002","40.735686999999999","-74.004968000000005","40.716321999999998","2014-01-06T00:04:00.000","2014-01-05T23:58:00.000","1","1.51"
"-74.004990000000006","40.721499999999999","-73.893782000000002","40.747599999999998","2014-01-06T00:04:00.000","2014-01-05T23:49:00.000","1","7.5999999999999996"
"-73.951395000000005","40.712850000000003","-73.960840000000005","40.711151999999998","2014-01-06T00:04:00.000","2014-01-06T00:00:00.000","2","0.75"
"-73.997540000000001","40.732756999999999","-73.927610000000001","40.86551","2014-01-06T00:04:00.000","2014-01-05T23:37:00.000","1","11.119999999999999"
"-73.957251999999997","40.775142000000002","-73.951402999999999","40.782175000000002","2014-01-06T00:04:00.000","2014-01-06T00:03:00.000","2","0.62"
"-73.972887999999998","40.744231999999997","-73.972887999999998","40.744231999999997","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","0.73999999999999999"
